Longitude,Latitude,Address,City,Category,ClassificationOfCategories,Area
76.9504905,28.3213878,"Ishwar Nagar, Mathura Road, Ishwar Nagar, New Friends Colony, New Delhi, Delhi 110065, India",South Delhi,Commenting,Verbal Abuse,New Friends Colony
76.9818172,28.4020652,ridge area delhi,South West Delhi,Others,Others,Ridge Area
76.9854526,28.4336167,bhati mines new delhi,South Delhi,Rape / Sexual Assault,Physical Abuse,Chhatarpur
76.985626,28.4488472,"Ambedkar Colony, Mandi, New Delhi, Delhi 110047, India",South Delhi,Commenting,Verbal Abuse,Chhatarpur
76.9859249,28.4687301,*,South West Delhi,Poor / No Street Lighting,Others,Aya Nagar
76.993827,28.479628,"Aya Nagar Mord Bus Stand, Aya Nagar, National Highway 236, Arjun Garh, Aya Nagar, New Delhi, Delhi 110047, India",South West Delhi,Commenting,Verbal Abuse,Aya Nagar
77.017121,28.4881363,"2647/67, 3rd 60 FEET Road, Bypass Road, Molarband Extension, Badarpur, New Delhi, Delhi 110044, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Badarpur
77.020462,28.4906646,*,South Delhi,Commenting,Verbal Abuse,Lal Kuan
77.020972,28.4906646,*,South Delhi,Stalking,Verbal Abuse,Lal Kuan
77.022712,28.4907453,"Block J 1, Devli, Sangam Vihar, New Delhi, Delhi 110044, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Sangam Vihar
77.022715,28.4907453,"Block J 1, Devli, Sangam Vihar, New Delhi, Delhi 110080, India",South Delhi,Others,Others,Sangam Vihar
77.024061,28.4922142,"Badarpur, 110044, Molarband, Molar Band, New Delhi, Haryana 110044, India",South Delhi,Touching /Groping,Physical Abuse,Badarpur
77.024826,28.4933212,*,South Delhi,Taking pictures without permission,Non-Verbal Abuse,Mithapur
77.025919,28.493673,"Lal Kuan, New Delhi, Delhi, India",South Delhi,Sexual Invites,Verbal Abuse,Lal Kuan
77.025924,28.4958535,*,South Delhi,Commenting,Verbal Abuse,Lal Kuan
77.025988,28.4958535,*,South Delhi,Sexual Invites,Verbal Abuse,Lal Kuan
77.025996,28.4958535,*,South Delhi,Stalking,Verbal Abuse,Lal Kuan
77.026001,28.4958535,*,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Lal Kuan
77.026221,28.4958535,*,South Delhi,Poor / No Street Lighting,Others,Lal Kuan
77.026224,28.4958535,*,South Delhi,Rape / Sexual Assault,Physical Abuse,Lal Kuan
77.026492,28.4958535,*,South Delhi,Taking pictures without permission,Non-Verbal Abuse,Lal Kuan
77.02835,28.4958535,*,South Delhi,Touching /Groping,Physical Abuse,Lal Kuan
77.028806,28.4958535,Lal Kuan New Delhi Delhi India,South Delhi,Petty Robbery,Physical Abuse,Lal Kuan
77.028934,28.4958535,"Lal Kuan, New Delhi, Delhi, India",South Delhi,Chain Snatching,Physical Abuse,Lal Kuan
77.0289342,28.4958562,"chattarpur, delhi",South Delhi,Others,Others,Chhatarpur
77.0291,28.49597,chattarpur delhi,South Delhi,Others,Others,Chhatarpur
77.030541,28.49597,"Chattarpur, Chhatarpur, New Delhi, Delhi 110030, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Chhatarpur
77.031177,28.49597,"Chattarpur, Chhatarpur, New Delhi, Delhi 110030, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Chhatarpur
77.031861,28.49703,"Chhatarpur, New Delhi, Delhi, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Chhatarpur
77.032397,28.49703,"Chhatarpur, New Delhi, Delhi, India",South Delhi,Commenting,Verbal Abuse,Chhatarpur
77.033123,28.502351,*,South Delhi,Catcalls/Whistles,Verbal Abuse,Lal Kuan
77.033148,28.502351,*,South Delhi,Commenting,Verbal Abuse,Lal Kuan
77.033262,28.502351,*,South Delhi,Sexual Invites,Verbal Abuse,Lal Kuan
77.0333,28.502351,*,South Delhi,Touching /Groping,Physical Abuse,Lal Kuan
77.0333266,28.502364,"Sainik Farm, New Delhi, Delhi, India",South East Delhi,Chain Snatching,Physical Abuse,Sainik Farm
77.033334,28.502952,"352, Main Chhatarpur Road, Dr Ambedkar Colony, Chhatarpur, New Delhi, Delhi 110030, India",South Delhi,Touching /Groping,Physical Abuse,Chhatarpur
77.033398,28.5033384,"Raju Park, Khanpur, New Delhi, Delhi 110062, India",South Delhi,Sexual Invites,Verbal Abuse,Khanpur
77.034857,28.5033384,"Raju Park, Khanpur, New Delhi, Delhi 110062, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Khanpur
77.034963,28.5037741,"Badarpur Village, Badarpur, New Delhi, Delhi 110044, India",South Delhi,Commenting,Verbal Abuse,Badarpur
77.035086,28.503961,"Badarpur, New Delhi, Delhi, India",South Delhi,Commenting,Verbal Abuse,Badarpur
77.035258,28.5045758,*,South East Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Tughlakabad
77.035859,28.504884,"Tughlakabad, New Delhi, Delhi, India",South East Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Tughlakabad
77.0362777,28.5048895,*,South Delhi,Catcalls/Whistles,Verbal Abuse,Sangam Vihar
77.0362967,28.5052081,Tughlakabad New Delhi Delhi India,South East Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Tughlakabad
77.036658,28.506054,"Block E, Sainik Farm, New Delhi, Delhi, India",South East Delhi,Catcalls/Whistles,Verbal Abuse,Sainik Farm
77.040082,28.506054,"Block E, Sainik Farm, New Delhi, Delhi, India",South East Delhi,Commenting,Verbal Abuse,Sainik Farm
77.0406147,28.506783,Chattarpur Andheria Mor Village Vasant Kunj New Delhi Delhi 110070 India,South Delhi,Commenting,Verbal Abuse,Chhatarpur
77.040615,28.506783,"Chattarpur, Andheria Mor Village, Vasant Kunj, New Delhi, Delhi 110070, India",South West Delhi,Commenting,Verbal Abuse,Vasant Kunj
77.040682,28.506989,"Chhattarpur, Sector D, New Delhi, Delhi 110070, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Chhatarpur
77.0409746,28.5077037,*,South Delhi,Taking pictures without permission,Non-Verbal Abuse,Khanpur
77.0429485,28.5077037,"Khanpur, New Delhi, Delhi 110062, India",South Delhi,Sexual Invites,Verbal Abuse,Khanpur
77.043493,28.5077037,"Khanpur, New Delhi, Delhi, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Khanpur
